package	url	version	license
backcall	https://pypi.org/project/backcall	0.2.0	BSD License
colorama	https://pypi.org/project/colorama	0.4.4	BSD License (BSD)
cycler	https://pypi.org/project/cycler	0.10.0	BSD
decorator	https://pypi.org/project/decorator	4.4.2	BSD License (new BSD License)
deprecation	https://pypi.org/project/deprecation	2.1.0	Apache Software License (Apache 2)
graphviz	https://pypi.org/project/graphviz	0.16	MIT License (MIT)
intervaltree	https://pypi.org/project/intervaltree	3.1.0	Apache Software License (Apache License, Version 2.0)
ipython	https://pypi.org/project/ipython	7.19.0	BSD License (BSD)
ipython-genutils	https://pypi.org/project/ipython-genutils	0.2.0	BSD License (BSD)
jedi	https://pypi.org/project/jedi	0.18.0	MIT License (MIT)
jinja2	https://pypi.org/project/jinja2	3.0.0a1	BSD License (BSD-3-Clause)
joblib	https://pypi.org/project/joblib	1.0.0	BSD License (BSD)
jsonpickle	https://pypi.org/project/jsonpickle	1.4.2	BSD License
kiwisolver	https://pypi.org/project/kiwisolver	1.3.1	BSD License (BSD)
lxml	https://pypi.org/project/lxml	4.6.2	BSD License (BSD)
MarkupSafe	https://pypi.org/project/MarkupSafe	2.0.0a1	BSD License (BSD-3-Clause)
matplotlib	https://pypi.org/project/matplotlib	3.3.3	Python Software Foundation License (PSF)
mpmath	https://pypi.org/project/mpmath	1.1.0	BSD
networkx	https://pypi.org/project/networkx	2.5	BSD License
numpy	https://pypi.org/project/numpy	1.20.0rc2	OSI Approved (BSD)
packaging	https://pypi.org/project/packaging	20.8	Apache Software License, BSD License (BSD-2-Clause or Apache-2.0)
pandas	https://pypi.org/project/pandas	1.2.0	BSD
parso	https://pypi.org/project/parso	0.8.1	MIT License (MIT)
pickleshare	https://pypi.org/project/pickleshare	0.7.5	MIT License (MIT)
pillow	https://pypi.org/project/pillow	8.1.0	Historical Permission Notice and Disclaimer (HPND) (HPND)
prompt-toolkit	https://pypi.org/project/prompt-toolkit	3.0.10	BSD License
pulp	https://pypi.org/project/pulp	2.1	BSD License
pydotplus	https://pypi.org/project/pydotplus	2.0.2	MIT License (UNKNOWN)
pygments	https://pypi.org/project/pygments	2.7.4	BSD License (BSD License)
pyparsing	https://pypi.org/project/pyparsing	3.0.0b2	MIT License (MIT License)
python-dateutil	https://pypi.org/project/python-dateutil	2.8.1	Apache Software License, BSD License (Dual License)
pytz	https://pypi.org/project/pytz	2020.5	MIT License (MIT)
pyvis	https://pypi.org/project/pyvis	0.1.8.2	BSD
scikit-learn	https://pypi.org/project/scikit-learn	0.24.0	OSI Approved (new BSD)
scipy	https://pypi.org/project/scipy	1.6.0	BSD License (BSD)
setuptools	https://pypi.org/project/setuptools	51.1.2	MIT License
six	https://pypi.org/project/six	1.15.0	MIT License (MIT)
sortedcontainers	https://pypi.org/project/sortedcontainers	2.3.0	Apache Software License (Apache 2.0)
stringdist	https://pypi.org/project/stringdist	1.0.9	MIT License (MIT)
sympy	https://pypi.org/project/sympy	1.7.1	BSD License (BSD)
threadpoolctl	https://pypi.org/project/threadpoolctl	2.1.0	BSD License
tqdm	https://pypi.org/project/tqdm	4.56.0	MIT License, Mozilla Public License 2.0 (MPL 2.0) (MPLv2.0, MIT Licences)
traitlets	https://pypi.org/project/traitlets	5.0.5	BSD License (BSD)
wcwidth	https://pypi.org/project/wcwidth	0.2.5	MIT License (MIT)
