PDC Year,Log name,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC19,pdc_2019_4.xes,DisCoveR,47,4,38,1,0.9404949973670352,0.9494949494949494,0.9419642857142857,0.8899078633045666,1.0,382,0,34,0.041269540786743164
PDC19,pdc_2019_4.xes,Sp-DisCoveR,47,4,38,1,0.9404949973670352,0.9494949494949494,0.9419642857142857,0.8899078633045666,1.0,250,3,37,0.8346211910247803
PDC19,pdc_2019_4.xes,Sp-DisCoveR_no_i2e_e2i,47,4,38,1,0.9404949973670352,0.9494949494949494,0.9419642857142857,0.8899078633045666,1.0,141,3,37,0.6392428874969482
PDC19,pdc_2019_1.xes,DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,255,0,45,0.11200571060180664
PDC19,pdc_2019_1.xes,Sp-DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,208,3,48,1.034116506576538
PDC19,pdc_2019_1.xes,Sp-DisCoveR_no_i2e_e2i,45,0,45,0,1.0,1.0,1.0,1.0,1.0,162,3,48,0.9859352111816406
PDC19,pdc_2019_7.xes,DisCoveR,45,7,38,0,0.9156626506024096,0.9278350515463918,0.9222222222222223,0.8548504142651103,1.0,281,0,35,0.054810285568237305
PDC19,pdc_2019_7.xes,Sp-DisCoveR,45,8,37,0,0.9024390243902439,0.9183673469387755,0.9111111111111111,0.8355316915277181,1.0,167,3,38,0.709885835647583
PDC19,pdc_2019_7.xes,Sp-DisCoveR_no_i2e_e2i,45,9,36,0,0.888888888888889,0.9090909090909091,0.9,0.816496580927726,1.0,88,3,38,0.643606424331665
PDC19,pdc_2019_2.xes,DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,230,0,46,0.10718655586242676
PDC19,pdc_2019_2.xes,Sp-DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,159,3,49,1.0683751106262207
PDC19,pdc_2019_2.xes,Sp-DisCoveR_no_i2e_e2i,45,0,45,0,1.0,1.0,1.0,1.0,1.0,145,3,49,1.0278077125549316
PDC19,pdc_2019_6.xes,DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,592,0,43,0.0381011962890625
PDC19,pdc_2019_6.xes,Sp-DisCoveR,45,0,45,0,1.0,1.0,1.0,1.0,1.0,468,4,47,0.8064610958099365
PDC19,pdc_2019_6.xes,Sp-DisCoveR_no_i2e_e2i,45,0,45,0,1.0,1.0,1.0,1.0,1.0,285,4,47,0.7198145389556885
PDC19,pdc_2019_9.xes,DisCoveR,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,193,0,29,0.12705278396606445
PDC19,pdc_2019_9.xes,Sp-DisCoveR,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,166,2,31,1.0590624809265137
PDC19,pdc_2019_9.xes,Sp-DisCoveR_no_i2e_e2i,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,148,2,31,0.909895658493042
PDC19,pdc_2019_10.xes,DisCoveR,43,6,39,2,0.9089430894308943,0.9148936170212767,0.9111111111111112,0.8254898842683464,1.0,298,0,32,0.04318094253540039
PDC19,pdc_2019_10.xes,Sp-DisCoveR,43,6,39,2,0.9089430894308943,0.9148936170212767,0.9111111111111112,0.8254898842683464,1.0,185,3,35,0.6152021884918213
PDC19,pdc_2019_10.xes,Sp-DisCoveR_no_i2e_e2i,44,6,39,1,0.918875502008032,0.9263157894736842,0.9222222222222223,0.8497058314499201,1.0,145,3,35,0.5737533569335938
PDC19,pdc_2019_3.xes,DisCoveR,44,0,45,1,0.9887640449438202,0.9887640449438202,0.9888888888888889,0.9780192938436515,1.0,427,0,48,0.05763411521911621
PDC19,pdc_2019_3.xes,Sp-DisCoveR,44,0,45,1,0.9887640449438202,0.9887640449438202,0.9888888888888889,0.9780192938436515,1.0,240,4,52,0.9359822273254395
PDC19,pdc_2019_3.xes,Sp-DisCoveR_no_i2e_e2i,45,0,45,0,1.0,1.0,1.0,1.0,1.0,162,4,52,0.9752073287963867
PDC19,pdc_2019_5.xes,DisCoveR,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,830,0,44,0.024303913116455078
PDC19,pdc_2019_5.xes,Sp-DisCoveR,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,640,4,48,0.9995462894439697
PDC19,pdc_2019_5.xes,Sp-DisCoveR_no_i2e_e2i,45,3,42,0,0.9655172413793104,0.967741935483871,0.9666666666666667,0.9354143466934853,1.0,328,4,48,0.9621140956878662
PDC19,pdc_2019_8.xes,DisCoveR,43,2,43,2,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9111111111111111,1.0,487,0,44,0.05479264259338379
PDC19,pdc_2019_8.xes,Sp-DisCoveR,44,2,43,1,0.9665389527458493,0.967032967032967,0.9666666666666667,0.9335638713962128,1.0,347,4,48,0.8349134922027588
PDC19,pdc_2019_8.xes,Sp-DisCoveR_no_i2e_e2i,44,2,43,1,0.9665389527458493,0.967032967032967,0.9666666666666667,0.9335638713962128,1.0,217,4,48,0.7199044227600098
PDC20,pdc_2020_1010010.xes,DisCoveR,516,38,446,0,0.9591397849462365,0.9644859813084112,0.9607438016528926,0.9264344943886286,1.0,67,0,18,0.18136930465698242
PDC20,pdc_2020_1010010.xes,Sp-DisCoveR,516,35,449,0,0.962486602357985,0.9671977507029054,0.9638429752066116,0.9320721703256164,1.0,65,1,19,0.6579103469848633
PDC20,pdc_2020_1010010.xes,Sp-DisCoveR_no_i2e_e2i,516,39,445,0,0.9580193756727664,0.9635854341736695,0.9597107438016529,0.9245612425237862,1.0,61,1,19,0.654322624206543
PDC20,pdc_2020_0001000.xes,DisCoveR,507,0,493,0,1.0,1.0,1.0,1.0,1.0,56,0,16,0.07387232780456543
PDC20,pdc_2020_0001000.xes,Sp-DisCoveR,507,0,493,0,1.0,1.0,1.0,1.0,1.0,50,1,17,0.6002833843231201
PDC20,pdc_2020_0001000.xes,Sp-DisCoveR_no_i2e_e2i,507,0,493,0,1.0,1.0,1.0,1.0,1.0,50,1,17,0.5988099575042725
PDC20,pdc_2020_0001110.xes,DisCoveR,558,74,368,0,0.908641975308642,0.9378151260504202,0.9162895927601811,0.8573760248428085,1.0,33,0,14,0.060181379318237305
PDC20,pdc_2020_0001110.xes,Sp-DisCoveR,558,69,373,0,0.9153374233128834,0.9417721518987342,0.9219457013574661,0.8666158150167883,1.0,29,1,15,0.5179550647735596
PDC20,pdc_2020_0001110.xes,Sp-DisCoveR_no_i2e_e2i,558,69,373,0,0.9153374233128834,0.9417721518987342,0.9219457013574661,0.8666158150167883,1.0,29,1,15,0.5165736675262451
PDC20,pdc_2020_1211110.xes,DisCoveR,534,189,277,0,0.7456258411843876,0.8496420047732697,0.7972103004291846,0.662595384044919,1.0,58,0,22,0.13582444190979004
PDC20,pdc_2020_1211110.xes,Sp-DisCoveR,534,189,277,0,0.7456258411843876,0.8496420047732697,0.7972103004291846,0.662595384044919,1.0,55,1,23,1.0287306308746338
PDC20,pdc_2020_1211110.xes,Sp-DisCoveR_no_i2e_e2i,534,190,276,0,0.7439353099730458,0.848966613672496,0.796137339055794,0.6609413575005573,1.0,50,1,23,1.017833948135376
PDC20,pdc_2020_1000110.xes,DisCoveR,544,61,395,0,0.9283196239717979,0.946910356832028,0.9331140350877193,0.8825470934691291,1.0,69,0,18,0.09200167655944824
PDC20,pdc_2020_1000110.xes,Sp-DisCoveR,544,61,395,0,0.9283196239717979,0.946910356832028,0.9331140350877193,0.8825470934691291,1.0,66,1,19,0.737637996673584
PDC20,pdc_2020_1000110.xes,Sp-DisCoveR_no_i2e_e2i,544,63,393,0,0.9257950530035335,0.945264986967854,0.930921052631579,0.8788585015077333,1.0,62,1,19,0.7237052917480469
PDC20,pdc_2020_0200110.xes,DisCoveR,588,255,157,0,0.5518453427065027,0.8218029350104822,0.6905339805825242,0.5155562948863812,1.0,126,0,32,0.3851282596588135
PDC20,pdc_2020_0200110.xes,Sp-DisCoveR,588,255,157,0,0.5518453427065027,0.8218029350104822,0.6905339805825242,0.5155562948863812,1.0,126,0,32,2.3908164501190186
PDC20,pdc_2020_0200110.xes,Sp-DisCoveR_no_i2e_e2i,588,255,157,0,0.5518453427065027,0.8218029350104822,0.6905339805825242,0.5155562948863812,1.0,126,0,32,2.2514374256134033
PDC20,pdc_2020_1011100.xes,DisCoveR,552,13,435,0,0.985277463193658,0.9883616830796776,0.9854910714285714,0.9739820125695866,1.0,55,0,16,0.03955078125
PDC20,pdc_2020_1011100.xes,Sp-DisCoveR,552,10,438,0,0.9887133182844243,0.9910233393177738,0.9888392857142857,0.9799398734447196,1.0,53,1,17,0.5256245136260986
PDC20,pdc_2020_1011100.xes,Sp-DisCoveR_no_i2e_e2i,552,16,432,0,0.9818181818181818,0.9857142857142858,0.9821428571428572,0.9680509988727407,1.0,48,1,17,0.5042095184326172
PDC20,pdc_2020_1110101.xes,DisCoveR,502,404,94,0,0.3175675675675676,0.7130681818181819,0.5943775100401606,0.3233977657296689,1.0,69,0,32,0.13955330848693848
PDC20,pdc_2020_1110101.xes,Sp-DisCoveR,502,404,94,0,0.3175675675675676,0.7130681818181819,0.5943775100401606,0.3233977657296689,1.0,69,0,32,1.3690886497497559
PDC20,pdc_2020_1110101.xes,Sp-DisCoveR_no_i2e_e2i,502,404,94,0,0.3175675675675676,0.7130681818181819,0.5943775100401606,0.3233977657296689,1.0,69,0,32,1.272918462753296
PDC20,pdc_2020_0111110.xes,DisCoveR,561,172,267,0,0.7563739376770537,0.8670788253477589,0.8041002277904328,0.682264562013612,1.0,35,0,22,0.09564852714538574
PDC20,pdc_2020_0111110.xes,Sp-DisCoveR,561,172,267,0,0.7563739376770537,0.8670788253477589,0.8041002277904328,0.682264562013612,1.0,35,0,22,0.868133544921875
PDC20,pdc_2020_0111110.xes,Sp-DisCoveR_no_i2e_e2i,561,172,267,0,0.7563739376770537,0.8670788253477589,0.8041002277904328,0.682264562013612,1.0,35,0,22,0.8976616859436035
PDC20,pdc_2020_0010100.xes,DisCoveR,522,20,458,0,0.9786324786324786,0.9812030075187969,0.9790794979079498,0.9606261371137513,1.0,69,0,20,0.05968880653381348
PDC20,pdc_2020_0010100.xes,Sp-DisCoveR,522,20,458,0,0.9786324786324786,0.9812030075187969,0.9790794979079498,0.9606261371137513,1.0,62,1,21,0.6420540809631348
PDC20,pdc_2020_0010100.xes,Sp-DisCoveR_no_i2e_e2i,522,20,458,0,0.9786324786324786,0.9812030075187969,0.9790794979079498,0.9606261371137513,1.0,62,1,21,0.6450541019439697
PDC20,pdc_2020_1110110.xes,DisCoveR,521,189,290,0,0.7542262678803642,0.8464662875710803,0.802713987473904,0.6665318847944312,1.0,133,0,29,0.15003156661987305
PDC20,pdc_2020_1110110.xes,Sp-DisCoveR,521,189,290,0,0.7542262678803642,0.8464662875710803,0.802713987473904,0.6665318847944312,1.0,130,1,30,1.2391037940979004
PDC20,pdc_2020_1110110.xes,Sp-DisCoveR_no_i2e_e2i,521,192,287,0,0.7493472584856397,0.8444084278768234,0.7995824634655533,0.6616789038898583,1.0,125,1,30,1.2279767990112305
PDC20,pdc_2020_0101101.xes,DisCoveR,551,436,13,0,0.05627705627705628,0.7165149544863458,0.5144766146993318,0.12713517604306535,1.0,3,0,24,0.14529013633728027
PDC20,pdc_2020_0101101.xes,Sp-DisCoveR,551,432,17,0,0.07296137339055794,0.7183833116036507,0.5189309576837416,0.14568013347537526,1.0,3,0,24,1.189399003982544
PDC20,pdc_2020_0101101.xes,Sp-DisCoveR_no_i2e_e2i,551,432,17,0,0.07296137339055794,0.7183833116036507,0.5189309576837416,0.14568013347537526,1.0,3,0,24,1.057452917098999
PDC20,pdc_2020_1111101.xes,DisCoveR,536,402,62,0,0.23574144486692014,0.7272727272727273,0.5668103448275862,0.27632350570111774,1.0,30,0,24,0.21911001205444336
PDC20,pdc_2020_1111101.xes,Sp-DisCoveR,536,402,62,0,0.23574144486692014,0.7272727272727273,0.5668103448275862,0.27632350570111774,1.0,30,0,24,0.8973965644836426
PDC20,pdc_2020_1111101.xes,Sp-DisCoveR_no_i2e_e2i,536,402,62,0,0.23574144486692014,0.7272727272727273,0.5668103448275862,0.27632350570111774,1.0,30,0,24,0.9016413688659668
